City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,22.03,83,75,6.69,CK,1667296547
1,meadow lake,34.8014,-106.5436,10.22,39,0,2.07,US,1667296548
2,paamiut,61.994,-49.6678,-1.19,72,95,11.24,GL,1667296549
3,hithadhoo,-0.6,73.0833,27.74,77,67,6.87,MV,1667296550
4,geraldton,-28.7667,114.6,19.23,63,0,9.77,AU,1667296511
5,punta arenas,-53.15,-70.9167,6.06,81,40,1.54,CL,1667296551
6,jamestown,42.097,-79.2353,14.77,94,100,2.06,US,1667296552
7,hambantota,6.1241,81.1185,30.19,74,40,7.72,LK,1667296553
8,buala,-8.145,159.5921,26.91,82,93,1.23,SB,1667296554
9,rikitea,-23.1203,-134.9692,21.79,73,100,10.23,PF,1667296555
10,faya,18.3851,42.4509,25.06,32,29,4.03,SA,1667296556
11,dikson,73.5069,80.5464,-5.26,78,100,4.58,RU,1667296557
12,macamic,48.7502,-78.9996,4.6,89,77,2.99,CA,1667296558
13,mar del plata,-38.0023,-57.5575,7.83,87,0,2.06,AR,1667296559
14,buraydah,26.326,43.975,32.25,12,78,7.48,SA,1667296560
15,cape town,-33.9258,18.4232,28.4,34,0,4.47,ZA,1667296520
16,la palma,33.8464,-118.0467,19.34,92,100,0.45,US,1667296561
17,lavrentiya,65.5833,-171.0,-4.86,94,100,7.28,RU,1667296562
18,puerto ayora,-0.7393,-90.3518,19.24,83,89,4.12,EC,1667296563
19,ballina,-28.8667,153.5667,20.01,60,2,3.47,AU,1667296564
20,hermanus,-34.4187,19.2345,22.67,44,12,9.73,ZA,1667296566
21,chapais,49.7834,-74.8492,0.88,90,55,3.03,CA,1667296567
22,atuona,-9.8,-139.0333,24.45,73,6,4.69,PF,1667296568
23,aklavik,68.2191,-135.0107,-22.25,100,91,0.7,CA,1667296569
24,port elizabeth,-33.918,25.5701,21.72,61,20,7.2,ZA,1667296570
25,bluff,-46.6,168.3333,18.78,40,100,9.98,NZ,1667296571
26,esperance,-33.8667,121.9,14.82,76,65,5.55,AU,1667296572
27,beringovskiy,63.05,179.3167,-4.8,93,100,17.24,RU,1667296573
28,grande prairie,55.1667,-118.8027,-4.9,68,0,1.03,CA,1667296297
29,santander,43.4647,-3.8044,17.62,80,40,0.45,ES,1667296575
30,torbay,47.6666,-52.7314,5.88,82,100,5.14,CA,1667296576
31,busselton,-33.65,115.3333,16.5,68,99,4.9,AU,1667296577
32,cefalu,38.0386,14.0229,21.97,74,0,0.45,IT,1667296578
33,corrooy,16.7962,120.4453,26.82,85,100,2.52,PH,1667296579
34,albany,42.6001,-73.9662,14.29,90,100,1.43,US,1667296564
35,rio gallegos,-51.6226,-69.2181,8.03,66,40,8.75,AR,1667296580
36,castro,-24.7911,-50.0119,10.95,98,100,3.63,BR,1667296581
37,fairbanks,64.8378,-147.7164,-14.67,88,51,1.1,US,1667296582
38,narsaq,60.9167,-46.05,-9.64,73,84,2.7,GL,1667296583
39,chokurdakh,70.6333,147.9167,-26.92,100,71,2.85,RU,1667296584
40,butaritari,3.0707,172.7902,27.37,75,8,6.17,KI,1667296585
41,husavik,66.0449,-17.3389,2.92,96,100,1.43,IS,1667296586
42,richland,40.7834,-82.5499,13.53,92,61,0.45,US,1667296592
43,nome,64.5011,-165.4064,-3.96,74,100,6.69,US,1667296593
44,namatanai,-3.6667,152.4333,27.53,77,26,1.69,PG,1667296594
45,dingle,10.9995,122.6711,25.66,86,68,4.41,PH,1667296595
46,carnarvon,-24.8667,113.6333,21.31,58,0,10.44,AU,1667296597
47,san cristobal,7.7669,-72.225,17.52,96,61,0.6,VE,1667296559
48,kavieng,-2.5744,150.7967,28.55,70,16,3.08,PG,1667296602
49,cockburn town,21.4612,-71.1419,27.95,75,3,7.4,TC,1667296603
50,qasigiannguit,68.8193,-51.1922,-7.51,92,96,4.7,GL,1667296603
51,broome,42.2506,-75.833,13.34,89,100,1.42,US,1667296605
52,noumea,-22.2763,166.4572,24.99,75,21,3.24,NC,1667296606
53,saldanha,-33.0117,17.9442,31.03,54,0,7.22,ZA,1667296609
54,kruisfontein,-34.0033,24.7314,20.49,45,15,9.83,ZA,1667296610
55,villa guerrero,18.8667,-99.65,16.82,91,0,1.56,MX,1667296612
56,guerrero negro,27.9769,-114.0611,18.27,79,47,1.53,MX,1667296616
57,khandagayty,50.7333,92.05,-0.33,86,100,1.68,RU,1667296619
58,severo-kurilsk,50.6789,156.125,2.05,72,37,3.73,RU,1667296438
59,cherskiy,68.75,161.3,-28.33,100,99,2.06,RU,1667296620
60,vanimo,-2.6741,141.3028,26.9,84,100,2.13,PG,1667296621
61,saskylakh,71.9167,114.0833,-5.87,88,100,6.85,RU,1667296623
62,richards bay,-28.783,32.0377,19.23,71,100,0.48,ZA,1667296625
63,kajaani,64.2273,27.7285,3.03,100,100,1.03,FI,1667296625
64,hobart,-42.8794,147.3294,8.92,82,75,2.57,AU,1667296514
65,juneau,58.3019,-134.4197,2.9,100,75,0.0,US,1667296353
66,itarema,-2.9248,-39.9167,26.97,70,98,5.74,BR,1667296630
67,nikolskoye,59.7035,30.7861,7.94,98,100,1.98,RU,1667296631
68,clyde river,70.4692,-68.5914,-16.87,55,0,1.03,CA,1667296633
69,vaini,-21.2,-175.2,25.09,94,75,1.54,TO,1667296634
